"year","service_name","department","province","district","category","care_center_name","relational_bond","cases","year.1","service_name.1","department.1","province.1","district.1","category.1","care_center_name.1","age_group","cases.1"
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","EX_PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","FAMILIAR",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","18 A 29 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","DESCONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","30 A 59 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","OTROS",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS","FEMINICIDIO","ANDAHUAYLAS","60 A MAS",0
2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","EX_PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","FAMILIAR",1,2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","18 A 29 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","DESCONOCIDO",2,2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","30 A 59 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","OTROS",0,2019,"CENTRO EMERGENCIA MUJER","CALLAO","CALLAO","CALLAO","FEMINICIDIO","CALLAO","60 A MAS",2
2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","EX_PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","FAMILIAR",0,2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","18 A 29 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","DESCONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","30 A 59 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","OTROS",0,2019,"CENTRO EMERGENCIA MUJER","LIMA PROVINCIA","CAÑETE","IMPERIAL","FEMINICIDIO","IMPERIAL","60 A MAS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","EX_PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","FAMILIAR",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","18 A 29 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","DESCONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","30 A 59 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","OTROS",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","CHANCHAMAYO","CHANCHAMAYO","FEMINICIDIO","CHANCHAMAYO","60 A MAS",0
2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","EX_PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","FAMILIAR",0,2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","18 A 29 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","DESCONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","30 A 59 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","OTROS",1,2019,"CENTRO EMERGENCIA MUJER","LAMBAYEQUE","CHICLAYO","CHICLAYO","FEMINICIDIO","CHICLAYO","60 A MAS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","EX_PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","FAMILIAR",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","18 A 29 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","DESCONOCIDO",1,2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","30 A 59 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","OTROS",0,2019,"CENTRO EMERGENCIA MUJER","JUNIN","HUANCAYO","CHILCA","FEMINICIDIO","CHILCA","60 A MAS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","PAREJA",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","0 A 5 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","EX_PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","6 A 11 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","FAMILIAR",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","12 A 17 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","CONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","18 A 29 AÑOS",1
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","DESCONOCIDO",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","30 A 59 AÑOS",0
2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","OTROS",0,2019,"CENTRO EMERGENCIA MUJER","APURIMAC","CHINCHEROS","CHINCHEROS","FEMINICIDIO","CHINCHEROS","60 A MAS",0
2019,"CENTRO EMERGENCIA MUJER","LA LIBERTAD","ASCOPE","CHOCOPE","FEMINICIDIO","CHOCOPE","PAREJA",1,2019,"CENTRO EMERGENCIA MUJER","LA LIBERTAD","ASCOPE","CHOCOPE","FEMINICIDIO","CHOCOPE","0 A 5 AÑOS",0
